dataset_id,table_id,column_name,code_value,code_label,code_description,vocabulary_iri,term_iri,term_type
10.1234/nuseds_fraser_coho_sample,nuseds_fraser_coho,RUN_TYPE,FALL,Fall run timing,,,,
10.1234/nuseds_fraser_coho_sample,nuseds_fraser_coho,ENUMERATION_METHODS,Bank Walk,Bank walk survey,,,,
10.1234/nuseds_fraser_coho_sample,nuseds_fraser_coho,ENUMERATION_METHODS,"Stream Walk, Other","Stream walk with other methods",,,,
10.1234/nuseds_fraser_coho_sample,nuseds_fraser_coho,ENUMERATION_METHODS,"Bank Walk, Stream Walk, Redd Counts, Other","Bank walk, stream walk, redd counts, and other methods",,,,
10.1234/nuseds_fraser_coho_sample,nuseds_fraser_coho,ENUMERATION_METHODS,Dead Pitch,Dead pitch counts,,,,
10.1234/nuseds_fraser_coho_sample,nuseds_fraser_coho,ENUMERATION_METHODS,Other,Other enumeration method,,,,
10.1234/nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_METHOD,Area Under the Curve,Area under the curve,,,,
10.1234/nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_METHOD,Insufficient Information,Insufficient information to classify method,,,,
10.1234/nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_METHOD,Not Applicable,Not applicable,,,,
10.1234/nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_METHOD,"Peak Live * Expansion","Peak live count multiplied by expansion",,,,
10.1234/nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_METHOD,"Peak Live + Dead","Peak live plus dead count",,,,
10.1234/nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_METHOD,Unknown Estimate Method,Unknown estimate method,,,,
10.1234/nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_CLASSIFICATION,NO SURVEY THIS YEAR,No survey this year,,,,
10.1234/nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_CLASSIFICATION,PRESENCE-ABSENCE (TYPE-6),Presence/absence classification,,,,
10.1234/nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_CLASSIFICATION,RELATIVE ABUNDANCE (TYPE-3),Relative abundance type 3,,,,
10.1234/nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_CLASSIFICATION,RELATIVE ABUNDANCE (TYPE-4),Relative abundance type 4,,,,
10.1234/nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_CLASSIFICATION,RELATIVE: CONSTANT MULTI-YEAR METHODS,Relative classification using constant multi-year methods,,,,
10.1234/nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_CLASSIFICATION,RELATIVE: VARYING MULTI-YEAR METHODS,Relative classification using varying multi-year methods,,,,
10.1234/nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_CLASSIFICATION,TRUE ABUNDANCE (TYPE-1),True abundance type 1,,,,
10.1234/nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_CLASSIFICATION,UNKNOWN,Unknown classification,,,,
10.1234/nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_STAGE,FINAL,Final estimate,,,,
10.1234/nuseds_fraser_coho_sample,nuseds_fraser_coho,ESTIMATE_STAGE,NEAR FINAL,Near-final estimate,,,,
10.1234/nuseds_fraser_coho_sample,nuseds_fraser_coho,RELIABILITY,LOW,Low reliability,,,,
10.1234/nuseds_fraser_coho_sample,nuseds_fraser_coho,RELIABILITY,MLOW,Medium-low reliability,,,,
10.1234/nuseds_fraser_coho_sample,nuseds_fraser_coho,RELIABILITY,MHIGH,Medium-high reliability,,,,
10.1234/nuseds_fraser_coho_sample,nuseds_fraser_coho,SPECIES,Coho,Coho salmon,,,,
10.1234/nuseds_fraser_coho_sample,nuseds_fraser_coho,FULL_CU_IN,CO-2,Conservation Unit CO-2,,,,
10.1234/nuseds_fraser_coho_sample,nuseds_fraser_coho,FULL_CU_IN,CO-4,Conservation Unit CO-4,,,,
